Organisation;Basis_URL;Gesamt_Kriterien;Erfüllte_Kriterien;Erfüllungsgrad_Prozent;Durchschnittliche_Konfidenz;Katalog;Strategie;Bewertungsdatum
Pädagogische Hochschule Schwäbisch Gmünd;https://www.ph-gmuend.de;23;10;43.5%;0.23;hochschulen;intelligent;2025-07-08 21:33:05
Pädagogische Hochschule Weingarten;https://www.ph-weingarten.de/;23;16;69.6%;0.38;hochschulen;intelligent;2025-07-08 21:33:05
Philipps-Universität Marburg;https://www.uni-marburg.de/;23;12;52.2%;0.29;hochschulen;intelligent;2025-07-08 21:33:05
Philosophisch-Theologische Hochschule Münster;http://www.pth-muenster.de;23;5;21.7%;0.11;hochschulen;intelligent;2025-07-08 21:33:05
Philosophisch-Theologische Hochschule Sankt Georgen Frankfurt am Main;https://www.sankt-georgen.de/;23;11;47.8%;0.27;hochschulen;intelligent;2025-07-08 21:33:05
Psychologische Hochschule Berlin (PHB);https://www.psychologische-hochschule.de/;23;11;47.8%;0.25;hochschulen;intelligent;2025-07-08 21:33:05
Rheinisch-Westfälische Technische Hochschule Aachen;https://www.rwth-aachen.de/;23;14;60.9%;0.35;hochschulen;intelligent;2025-07-08 21:33:05
Rheinische Friedrich-Wilhelms-Universität Bonn;https://www.uni-bonn.de/;23;11;47.8%;0.24;hochschulen;intelligent;2025-07-08 21:33:05
Rheinland-Pfälzische Technische Universität Kaiserslautern-Landau;https://rptu.de/;23;14;60.9%;0.33;hochschulen;intelligent;2025-07-08 21:33:05
Ruhr-Universität Bochum;https://www.ruhr-uni-bochum.de/;23;13;56.5%;0.31;hochschulen;intelligent;2025-07-08 21:33:05
Ruprecht-Karls-Universität Heidelberg;https://www.uni-heidelberg.de/;23;14;60.9%;0.30;hochschulen;intelligent;2025-07-08 21:33:05
Stiftung Tierärztliche Hochschule Hannover;http://www.tiho-hannover.de;23;14;60.9%;0.33;hochschulen;intelligent;2025-07-08 21:33:05
Technische Universität Bergakademie Freiberg;http://tu-freiberg.de/;23;9;39.1%;0.21;hochschulen;intelligent;2025-07-08 21:33:05
Technische Universität Berlin;https://www.tu.berlin/;23;14;60.9%;0.32;hochschulen;intelligent;2025-07-08 21:33:05
Technische Universität Carolo-Wilhelmina zu Braunschweig;https://www.tu-braunschweig.de/;23;15;65.2%;0.36;hochschulen;intelligent;2025-07-08 21:33:05
Technische Universität Chemnitz;https://www.tu-chemnitz.de/;23;12;52.2%;0.28;hochschulen;intelligent;2025-07-08 21:33:05
Technische Universität Clausthal;https://www.tu-clausthal.de/;23;11;47.8%;0.27;hochschulen;intelligent;2025-07-08 21:33:05
Technische Universität Darmstadt;https://www.tu-darmstadt.de/;23;15;65.2%;0.38;hochschulen;intelligent;2025-07-08 21:33:05
Technische Universität Dortmund;https://www.tu-dortmund.de/;23;12;52.2%;0.30;hochschulen;intelligent;2025-07-08 21:33:05
Technische Universität Dresden;https://tu-dresden.de/;23;15;65.2%;0.34;hochschulen;intelligent;2025-07-08 21:33:05
Technische Universität Hamburg;https://www.tuhh.de/;23;14;60.9%;0.33;hochschulen;intelligent;2025-07-08 21:33:05
Technische Universität Ilmenau;https://www.tu-ilmenau.de/;23;0;0.0%;0.00;hochschulen;intelligent;2025-07-08 21:33:05
Technische Universität München;https://www.tum.de/;23;15;65.2%;0.37;hochschulen;intelligent;2025-07-08 21:33:05
Technische Universität Nürnberg;https://utn.de/;23;3;13.0%;0.07;hochschulen;intelligent;2025-07-08 21:33:05
Theologische Fakultät Fulda;https://thf-fulda.de/;23;12;52.2%;0.28;hochschulen;intelligent;2025-07-08 21:33:05
Theologische Fakultät Paderborn;https://www.thf-paderborn.de/;23;9;39.1%;0.21;hochschulen;intelligent;2025-07-08 21:33:05
Theologische Fakultät Trier;https://theologie-trier.de;23;6;26.1%;0.14;hochschulen;intelligent;2025-07-08 21:33:05
Theologische Hochschule Friedensau;http://www.thh-friedensau.de/;23;7;30.4%;0.16;hochschulen;intelligent;2025-07-08 21:33:05
Ukrainische Freie Universität;http://www.ufu-muenchen.de/;23;5;21.7%;0.11;hochschulen;intelligent;2025-07-08 21:33:05
Universität Augsburg;https://www.uni-augsburg.de/;23;13;56.5%;0.30;hochschulen;intelligent;2025-07-08 21:33:05
Universität Bayreuth;https://www.uni-bayreuth.de/;23;15;65.2%;0.36;hochschulen;intelligent;2025-07-08 21:33:05
Universität Bielefeld;https://www.uni-bielefeld.de/;23;12;52.2%;0.27;hochschulen;intelligent;2025-07-08 21:33:05
Universität Bremen;https://www.uni-bremen.de/;23;0;0.0%;0.00;hochschulen;intelligent;2025-07-08 21:33:05
Universität der Bundeswehr München;https://www.unibw.de/;23;11;47.8%;0.26;hochschulen;intelligent;2025-07-08 21:33:05
Universität des Saarlandes;https://www.uni-saarland.de/;23;10;43.5%;0.23;hochschulen;intelligent;2025-07-08 21:33:05
Universität Duisburg-Essen;https://www.uni-due.de/;23;14;60.9%;0.30;hochschulen;intelligent;2025-07-08 21:33:05
Universität Erfurt;https://www.uni-erfurt.de/;23;14;60.9%;0.35;hochschulen;intelligent;2025-07-08 21:33:05
Universität Greifswald;https://www.uni-greifswald.de/;23;14;60.9%;0.35;hochschulen;intelligent;2025-07-08 21:33:05
Universität Hamburg;https://www.uni-hamburg.de/;23;15;65.2%;0.37;hochschulen;intelligent;2025-07-08 21:33:05
Universität Hildesheim;https://www.uni-hildesheim.de/;23;11;47.8%;0.28;hochschulen;intelligent;2025-07-08 21:33:05
Universität Hohenheim;https://www.uni-hohenheim.de/;23;0;0.0%;0.00;hochschulen;intelligent;2025-07-08 21:33:05
Universität Kassel;https://www.uni-kassel.de/uni/;23;15;65.2%;0.35;hochschulen;intelligent;2025-07-08 21:33:05
Universität Koblenz;https://www.uni-koblenz.de/;23;7;30.4%;0.17;hochschulen;intelligent;2025-07-08 21:33:05
Universität Konstanz;https://www.uni-konstanz.de/;23;0;0.0%;0.00;hochschulen;intelligent;2025-07-08 21:33:05
Universität Leipzig;https://www.uni-leipzig.de/;23;15;65.2%;0.35;hochschulen;intelligent;2025-07-08 21:33:05
Universität Mannheim;https://www.uni-mannheim.de/;23;8;34.8%;0.20;hochschulen;intelligent;2025-07-08 21:33:05
Universität Münster;https://www.uni-muenster.de/;23;0;0.0%;0.00;hochschulen;intelligent;2025-07-08 21:33:05
Universität Osnabrück;https://www.uni-osnabrueck.de/;23;11;47.8%;0.27;hochschulen;intelligent;2025-07-08 21:33:05
Universität Paderborn;http://www.uni-paderborn.de/;23;16;69.6%;0.40;hochschulen;intelligent;2025-07-08 21:33:05
Universität Passau;https://www.uni-passau.de/;23;14;60.9%;0.32;hochschulen;intelligent;2025-07-08 21:33:05
Universität Potsdam;https://www.uni-potsdam.de/;23;16;69.6%;0.39;hochschulen;intelligent;2025-07-08 21:33:05
Universität Regensburg;https://www.uni-regensburg.de/;23;14;60.9%;0.33;hochschulen;intelligent;2025-07-08 21:33:05
Universität Rostock;https://www.uni-rostock.de/;23;15;65.2%;0.39;hochschulen;intelligent;2025-07-08 21:33:05
Universität Siegen;https://www.uni-siegen.de/;23;0;0.0%;0.00;hochschulen;intelligent;2025-07-08 21:33:05
Universität Stuttgart;https://www.uni-stuttgart.de/;23;13;56.5%;0.31;hochschulen;intelligent;2025-07-08 21:33:05
Universität Trier;https://www.uni-trier.de/;23;17;73.9%;0.43;hochschulen;intelligent;2025-07-08 21:33:05
Universität Ulm;https://www.uni-ulm.de;23;14;60.9%;0.31;hochschulen;intelligent;2025-07-08 21:33:05
Universität Vechta;https://www.uni-vechta.de/;23;14;60.9%;0.34;hochschulen;intelligent;2025-07-08 21:33:05
Universität Witten/Herdecke;https://www.uni-wh.de/;23;15;65.2%;0.34;hochschulen;intelligent;2025-07-08 21:33:05
Universität zu Köln;https://www.uni-koeln.de/;23;0;0.0%;0.00;hochschulen;intelligent;2025-07-08 21:33:05
Universität zu Lübeck;http://www.uni-luebeck.de/;23;0;0.0%;0.00;hochschulen;intelligent;2025-07-08 21:33:05
VPU Vinzenz Pallotti University;https://vp-uni.de/;23;9;39.1%;0.20;hochschulen;intelligent;2025-07-08 21:33:05
WHU – Otto Beisheim School of Management;https://www.whu.edu/de/;23;12;52.2%;0.28;hochschulen;intelligent;2025-07-08 21:33:05
Zeppelin Universität – Hochschule zwischen Wirtschaft, Kultur und Politik;https://www.zu.de/;23;11;47.8%;0.26;hochschulen;intelligent;2025-07-08 21:33:05
